time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
4/8/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/9/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/10/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/11/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/12/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/13/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/14/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/15/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/16/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/17/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/18/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/19/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/20/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/21/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/22/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/23/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/24/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/25/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/26/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/27/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/28/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/29/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/30/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/1/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/2/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/3/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/4/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/5/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/6/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/7/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/8/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/9/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/10/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/11/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/12/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/13/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/14/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/15/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/16/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/17/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/18/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/19/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/20/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/21/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/22/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/23/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/24/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/25/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/26/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/27/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/28/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/29/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/30/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
5/31/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
6/1/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
6/2/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
6/3/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
